Source	Site	Process	Period	Year-Month	Sample	Accession
Reservoir	J	Filtration	04	2015-06	OSU169	SRR6303942
Runoff	I	Leaf baiting	04	2015-06	OSU192	SRR6303943
Runoff	H	Filtration	28	2016-05	OSU637	SRR6303944
Runoff	H	Filtration	28	2016-05	OSU636	SRR6303945
Runoff	H	Filtration	28	2016-05	OSU639	SRR6303946
Runoff	H	Filtration	28	2016-05	OSU638	SRR6303947
Runoff	H	Filtration	22	2016-03	OSU536.s203	SRR6303948
Runoff	I	Filtration	22	2016-03	OSU537	SRR6303949
Reservoir	G	Filtration	22	2016-03	OSU535	SRR6303950
Runoff	H	Filtration	22	2016-03	OSU536	SRR6303951
Reservoir	L	Filtration	22	2016-03	OSU540	SRR6303952
River	M	Filtration	22	2016-03	OSU541	SRR6303953
Reservoir	J	Filtration	22	2016-03	OSU538	SRR6303954
Reservoir	K	Filtration	22	2016-03	OSU539	SRR6303955
River	M	Filtration	22	2016-03	OSU541.s208	SRR6303956
River	A	Filtration	23	2016-03	OSU546	SRR6303957
Runoff	I	Filtration	10	2015-09	OSU342	SRR6303958
Runoff	H	Filtration	10	2015-09	OSU341	SRR6303959
Reservoir	G	Leaf baiting	10	2015-09	OSU359	SRR6303960
Reservoir	G	Filtration	10	2015-09	OSU340	SRR6303961
Reservoir	C	Filtration	10	2015-09	OSU339	SRR6303962
Runoff	B	Leaf baiting	10	2015-09	OSU358	SRR6303963
Runoff	D	Filtration	19	2016-01	OSU487	SRR6303964
Runoff	E	Filtration	19	2016-01	OSU488	SRR6303965
Runoff	B	Filtration	19	2016-01	OSU485	SRR6303966
Reservoir	C	Filtration	19	2016-01	OSU486	SRR6303967
River	M	Filtration	18	2016-01	OSU476	SRR6303968
