HQ643272.1	Phytophthora medicaginis
HQ643273.1	Phytophthora medicaginis
AF266782.1	Phytophthora megakarya
GU993904.1	Phytophthora megakarya
HQ261609.1	Phytophthora megakarya
HQ261610.1	Phytophthora megakarya
HQ261611.1	Phytophthora megakarya
AF266794.1	Phytophthora megasperma
AF541893.1	Phytophthora megasperma
AF541895.1	Phytophthora megasperma
AF541896.1	Phytophthora megasperma
AF541898.1	Phytophthora megasperma
GU993905.1	Phytophthora megasperma
HQ261612.1	Phytophthora megasperma
HQ261613.1	Phytophthora megasperma
HQ261614.1	Phytophthora megasperma
HQ261615.1	Phytophthora megasperma
HQ643275.1	Phytophthora megasperma
HQ643277.1	Phytophthora megasperma
HQ643278.1	Phytophthora megasperma
HQ643279.1	Phytophthora megasperma
HQ643280.1	Phytophthora megasperma
HQ643281.1	Phytophthora megasperma
HQ643282.1	Phytophthora megasperma
AF266767.1	Phytophthora melonis
GU993906.1	Phytophthora melonis
HQ261616.1	Phytophthora melonis
HQ261617.1	Phytophthora melonis
HQ643283.1	Phytophthora melonis
EU748545.1	Phytophthora mengei
HQ261618.1	Phytophthora mengei
HQ261619.1	Phytophthora mengei
HQ261620.1	Phytophthora mexicana
AF266777.1	Phytophthora mirabilis
GU993907.1	Phytophthora mirabilis
HQ261621.1	Phytophthora mirabilis
HQ261622.1	Phytophthora mirabilis
HQ261623.1	Phytophthora mirabilis
HQ643285.1	Phytophthora mirabilis
HQ643287.1	Phytophthora mirabilis
KF112851.1	Phytophthora mississippiae
KF112853.1	Phytophthora mississippiae
FJ469147.1	Phytophthora morindae
AF266790.1	Phytophthora multivesiculata
GU993908.1	Phytophthora multivesiculata
HQ261624.1	Phytophthora multivesiculata
HQ643288.1	Phytophthora multivesiculata
FJ237515.2	Phytophthora multivora
FJ237521.2	Phytophthora multivora
HQ261625.1	Phytophthora multivora
HQ261626.1	Phytophthora multivora
HQ643290.1	Phytophthora multivora
HQ643291.1	Phytophthora multivora
HQ643292.1	Phytophthora multivora
HQ643293.1	Phytophthora multivora
AB688355.1	Phytophthora nagaii
AY332654.1	Phytophthora nemorosa
HQ261627.1	Phytophthora nemorosa
HQ261628.1	Phytophthora nemorosa
HQ643294.1	Phytophthora nemorosa
HQ643295.1	Phytophthora nemorosa
HQ643296.1	Phytophthora nemorosa
HQ643297.1	Phytophthora nemorosa
HQ643298.1	Phytophthora nemorosa
AB217682.1	Phytophthora nicotianae
AF266776.1	Phytophthora nicotianae
GU993910.1	Phytophthora nicotianae
HQ261629.1	Phytophthora nicotianae
