#sequence-name	taxid	genus-species
af46526f85cbf2d345d419a0f30e854a_16867	78237	Phytophthora gonapodyides
5f0826257d8521d3cc359e1ffc9a2bad_15772	0	
ec79f390ac2b25142fa0428bad641b85_15737	565287	Phytophthora irrigata
21fd1ed736bfe31c8c45be7a2dcece4e_14718	0	
e0263a8f47c37a4ce0b8e188cf488de9_11778	1241941;977911	Phytophthora acerina;Phytophthora citricola E
3d3f43d07f2d4dd63fe88aa3d6df9b52_11721	325452	Phytophthora kernoviae
9ba3657d5ecb7d8f35ce7f5feacbc3f7_11448	1692154	Phytophthora chlamydospora
12ccc0977c10d0368bc1e952bff77e75_11311	1185512;4788	Phytophthora borealis;Phytophthora megasperma
60795eaaa4a88f1517dcde5136ced331_11071	0	
0ff1f8b33fd6580576d13bb42a9614d1_10861	4783	Phytophthora
7f5f088faadaa1cfa20117b2d53bb048_10056	4783	Phytophthora
fce3decfd74efad1cc4b30eb7fc90450_9407	795339	Phytopythium
aba556e19beaf780927e6bf017729f0a_8645	4783	Phytophthora
36ad9a45fa33397a67d7f6be02a39964_8516	129355	Phytophthora lateralis
1660d452397da144120f7eda91b85982_7626	4797	Pythium
602d96b1f4128367c10946522fe33269_7349	78237	Phytophthora gonapodyides
95aba27655a05b9d7b63d47483605d31_6858	325452	Phytophthora kernoviae
d451e14ce75ec969afafa6fb317ce007_6667	795339;4797	Phytopythium;Pythium
a7360f237aa7135ba3ecc13a44b1f1ed_6269	4786;1821206	Phytophthora cryptogea;Phytophthora pseudocryptogea
93a51769fd2c2c1a0f890d0918f4621e_6059	0	
1902db29b1056e168c0fdebda0aab4c4_5875	0	
9553ef63cdecf6665d0dd5d69314641f_5718	0	
9080acfa7f6b22946d482a575877cd18_5460	565287	Phytophthora irrigata
80b6f53914bca8629394fdad682b4404_5394	359324	Phytophthora gallica
512eafbad0ca56c121cfd3ac4c819dfd_5350	0	
c481caed78a05708c0213aa26b83783a_5219	2675548;658425;639000	Phytophthora caryae;Phytophthora pini;Phytophthora plurivora
0238a15a2f2dbb5eafd4edd4965e9e48_5171	565287	Phytophthora irrigata
03f6e3a6fdfa9b9eccbb6f9297f7bf91_5006	795339	Phytopythium
5df1582b83dc17bdf9aeb0c96a6289f0_5005	0	
28c639a1150d8b7e4c6fba0e424e0271_4878	4793	Phytophthora citrophthora
fd87b504d3758f0ea3165820866c6b74_4770	1385620	Phytophthora occultans
fe9c29ca3c79853c1a599b7ca7eab463_4612	565287	Phytophthora irrigata
a1417ec7b8f84863f34123f5bdbfdea2_4309	0	
b23f2bd73719b66d38a30eaee19f0f12_4241	67594	Phytophthora syringae
0b649c98a586b3943a31e73aab56a273_4058	4785	Phytophthora cinnamomi
10ba08ab269b69142b6f83328e3e7099_3984	78237	Phytophthora gonapodyides
761f46a90a2b4b5dc24848d3b6ec93f1_3909	795339	Phytopythium
e0878938e6b23431cc66f1695359875a_3641	137729	Phytophthora tropicalis
1cb82a790a277c3d90007ee17de83acd_3564	0	
19c4d1f1737f0e6d8596b273c5211231_3553	0	
4dda93daac4299d40b169b1e0e7c7dbd_3551	4797	Pythium
90c530f2508c3020858ae71814b7054e_3344	565287	Phytophthora irrigata
aa058ea7a97d1ae74bcb88434849b641_3287	544909	Phytophthora parsiana
d9d49334aad9c5bfa43c116daa9ddc24_3247	0	
7073cb09ced568e0aa68ae6a05f32ea6_3177	0	
64cb08b8b1638a34f785324fec961381_3167	0	
bdb3fc9d188149701b50a1edcfba4022_3161	795339	Phytopythium
735c8b774d06e8ec234433bedb44f8ed_3128	0	
6cf134fe017f7c55697c6b0de9b3b70c_3115	0	
dc1c318096f53525f99b34d86ea711f1_3023	0	
852d58d631898c703bdc9edf88e35db1_2967	795339	Phytopythium
b217c3d3022a4f6b354be5ec16acc31e_2917	795339	Phytopythium
a417d042aa2ab92f361f86ace8983b15_2855	565287	Phytophthora irrigata
4eea337a56616e39338daf3930dcfcf9_2791	137729	Phytophthora tropicalis
92f4aab9fe9917a8c6755b8017e1fae8_2787	0	
e178a5c6aea5ecd1f442506fab278a3c_2772	2675548;658425	Phytophthora caryae;Phytophthora pini
aeece02ad2d9cccf8131ceb1ef8d638b_2740	67594	Phytophthora syringae
e69634b9723d41d5e7c308d722891b06_2723	4783	Phytophthora
5954e4e70b640a6ca19d972387aeadaa_2602	4793	Phytophthora citrophthora
5bddf030b013e783a218734230c6f542_2571	1692154	Phytophthora chlamydospora
3c94d5e2cb0abf95075ee1a12aa129c8_2558	4793	Phytophthora citrophthora
b92d4f439d463647f4d56e9a4d32f955_2540	4783	Phytophthora
c3f1c98c6358db1e12dd144f4bc085f7_2469	0	
66716afd0cf935f02cd5b7617949ae27_2366	0	
6921558ee76cc43d2925d7422dce6c82_2287	1692154	Phytophthora chlamydospora
4ab77d41e92318e04ed7329028cb81dc_2275	795339	Phytopythium
331c0e56e991b9fc41d8e5b1ccb5ff6c_2203	0	
69ecbd0dba57c8bf258f21109bd81917_2196	78237	Phytophthora gonapodyides
18bf3de496b0e33ac8c7ad579d605d6c_2192	1396423	Phytophthora mississippiae
1a884fe08fcabaf520946eb2f1df4f9c_2184	2675548;658425	Phytophthora caryae;Phytophthora pini
3cdb752ba698d722ea41691077d884c6_2180	0	
a7911b4e71ee858afb4240dc76e25bcc_2156	544909	Phytophthora parsiana
b65e0fde9a15ceea795423eeeea6c114_2154	0	
5b4e296054f364de77c3ff1fbf160b79_2079	0	
dfe72dc86fb3fb0ed9c9ef0f93844da8_2078	1692154	Phytophthora chlamydospora
063c8fbbf54edc91ed758e3684e5eda7_2015	4783	Phytophthora
7c44000fd13306da97cad8203554c509_1946	0	
a4323f28a50ab1e9f1207e4df790044b_1920	0	
aaaa233b561abf87382598e8295f232c_1886	0	
83ae2a224b1c49c8f3344d754c4ceaa8_1878	0	
d10eab2dcf01ad3af8879e73453bf3ef_1847	4793	Phytophthora citrophthora
19891dbd230c798028a7f80a5738a22f_1778	0	
af3282a9797a70b6922e29e68c0b2bdc_1774	4786;1821206	Phytophthora cryptogea;Phytophthora pseudocryptogea
a9254124647a509ab36cca163ba3b3cf_1738	4793	Phytophthora citrophthora
8844700b79b38462d885fea26d0ced4f_1670	795339	Phytopythium
ef564000c835e0b28baf174f853a4dca_1651	0	
972db44c016a166de86a2bacab3f4226_1645	53983;2056922	Phytophthora cambivora;Phytophthora x cambivora
c4b24e6e223bb4a230171da38723f46b_1641	1396423	Phytophthora mississippiae
f7bba4f15b8ea3b0111df874dc42df68_1609	0	
960680e86a423e2304c9a9b132056ad7_1566	0	
41ccd50edf1a02876c49a52a1875233d_1541	2675548;658425	Phytophthora caryae;Phytophthora pini
aea1295289ac2756a0ec89c2a471f228_1540	1190534	Phytophthora lacustris
e827e3de506c4ff02217fde4a95bfa70_1535	78237	Phytophthora gonapodyides
cb19ac2b4ed10c2ebaa31a5b4848ee84_1517	544909	Phytophthora parsiana
419ba098165eeae2cbe3d90569b521ce_1481	1185511	Phytophthora riparia
8950417251c8298320f60deda691b35b_1458	89335	Phytophthora ilicis
a472d637e14872c292e1d19c09c5785a_1389	4793;1385621	Phytophthora citrophthora;Phytophthora terminalis
2206e108ac7bcea923cb8646520f601f_1371	1190534	Phytophthora lacustris
6d2652a069ef0cb6882712bbcd9cc461_1346	325452	Phytophthora kernoviae
8580c73a15a0ee49d973c8ff4806e732_1339	0	
f27df8e8755049e831b1ea4521ad6eb3_1339	2496075;29920	Phytophthora aleatoria;Phytophthora cactorum
55e51c1342cb9c9522953c8ddcc0ed68_1319	0	
a8fd7e7b2073a7c1cb26fa060b152656_1291	4786	Phytophthora cryptogea
9b75ffc3e5d7fdf4688d2a321740ee36_1260	1448052	Globisporangium
ad4e12eff9d8e9338470628acfb9a90a_1251	565287	Phytophthora irrigata
fd7b537612a6a0d041cd9b1e5b7f3f45_1250	2675548;658425	Phytophthora caryae;Phytophthora pini
1d811596ad59627baab00a6d403a16e9_1244	359324	Phytophthora gallica
8dc38b74fbec0ee41e7d28dafd6d36bd_1241	2675548;658425	Phytophthora caryae;Phytophthora pini
d3a143353efdf45d5e70ae0f47f30be8_1204	0	
82b3f2deff6871b676d0cca59f9c6cee_1199	164328	Phytophthora ramorum
7fba5f6544c6ec6a17a77cb6f5c36780_1197	0	
c6f6c4b06a669a556d2597cf58c78eb5_1159	0	
52cfa7608857e4dd0857b87b6659f8de_1157	0	
d45b8636831eb8515af2ada807143746_1143	544909	Phytophthora parsiana
8000b24c7ff9c92ad52779e0b34688c0_1121	175300	Phytophthora hibernalis
39aebaff88cc30e75a121fe9b14f6ca5_1116	137729	Phytophthora tropicalis
4421f07f8fefe14d5d16e4c55fbbd6a3_1109	0	
6bcdcba67f36c711c34f3a5ec368babb_1096	631361	Phytophthora austrocedri
0721a6a48cb10a2b0a866336cd8b40f0_1085	0	
e323527e9e3414bd1aafbd2cfbf16ef1_1084	4786	Phytophthora cryptogea
96e0e2f0475bd1617a4b05e778bb04c9_1079	78237	Phytophthora gonapodyides
