Site Code (Site Type)	Location	Surveyed Location and Nearest Hosts	Signs of Ill-Health Tree Status	ITS	COI	Isolation	ITS Illumina
US1 (Undisturbed site 1)	US1-6	Sorbus aucuparia	Dead	P. plurivora/citricola, Clade 2 Phytophthora sp. uncultured 17a	-	-	SRR13393771
US1 (Undisturbed site 1)	US1-7	Quercus	Healthy	-	-	-	Unavailable
US1 (Undisturbed site 1)	US1-8	Malus	Declining	P. syringae, Clade 6 Phytophthora sp. uncultured 15a	P. syringae, P. gonapodyides	-	SRR13393770
US1 (Undisturbed site 1)	US1-9	Fraxinus	Declining	P. fallax, P. plurivora/citricola, P. rubi/fragariae, P. siskiyouensis, P. syringae	-	-	SRR13393768
US1 (Undisturbed site 1)	US1-10	Alnus	Healthy	P. plurivora/citricola, P. pseudosyringae, P. syringae	-	-	SRR13393767
US1 (Undisturbed site 1)	US1-11	Alnus	Healthy	P. cactorum, P. syringae	-	-	SRR13393766
US2 (Undisturbed site 2)	US2-1	Betula pubescens	Declining	Clade 7 Phytophthora sp. uncultured 21a	-	-	SRR13393765
US2 (Undisturbed site 2)	US2-2	Juniperus communis	Dead	P. kernoviae	-	-	SRR13393764
US2 (Undisturbed site 2)	US2-3	Mature Pinus sylvestris	Healthy	P. cactorum	-	-	SRR13393760
US2 (Undisturbed site 2)	US2-4	Sorbus aucuparia	Healthy	P. syringae, Clade 7 Phytophthora sp. uncultured 2a	-	-	SRR13393763
US2 (Undisturbed site 2)	US2-5	Betula pubescens	Declining	Clade 11 Phytophthora sp. uncultured 19a	-	-	SRR13393762
US2 (Undisturbed site 2)	US2-6	Pinus sylvestris	Healthy	-	-	-	Unavailable
US2 (Undisturbed site 2)	US2-7	Pinus sylvestris	Healthy	-	-	-	Unavailable
US2 (Undisturbed site 2)	US2-8	Quercus	Healthy	-	New Clade Phytophthora sp. uncultured 12b, New Clade Phytophthora sp. uncultured 16b	-	SRR13393761
US2 (Undisturbed site 2)	US2-9	Quercus	Declining	-	-	-	SRR13393759
US2 (Undisturbed site 2)	US2-10	Juniperus communis	Declining	-	-	-	SRR13393757
US3 (Undisturbed site 3)	US3-1	Fraxinus	Declining	P. cactorum, P. syringae	P. syringae	-	SRR13393756
US3 (Undisturbed site 3)	US3-2	Corylus	Declining	P. cactorum, P. capsici, P. fallax, P. foliorum, P. plurivora/citricola, P. siskiyouensis, P. syringae	P. plurivora, P. syringae, Clade 7 Phytophthora sp. uncultured 9b, Nothophytophthora sp. 6b	P. plurivora	SRR13393755
US3 (Undisturbed site 3)	US3-3	Fraxinus windblown trees	NA	P. cactorum, P. plurivora/citricola, P. primulae, P. syringae	P. cactorum, P. plurivora/citricola, P. syringae, Nothophytophthora sp. 1	-	SRR13393754
US3 (Undisturbed site 3)	US3-4	Decayed Acer campestre	NA	P. cactorum, P. megasperma/crassamura, P. syringae, Clade 7 Phytophthora sp. uncultured 5a	P. cactorum, P. syringae, Clade 7 Phytophthora sp. uncultured 10b, Nothophytophthora sp. 1	-	SRR13393753
US3 (Undisturbed site 3)	US3-5	Fraxinus	Dead	-	-	-	Unavailable
US3 (Undisturbed site 3)	US3-6	Decayed Fagus	Dead	P. syringae	P. syringae	-	SRR13393752
US3 (Undisturbed site 3)	US3-7	Acer campestre	Dead	P. ramorum, P. syringae	P. syringae	-	SRR13393751
US3 (Undisturbed site 3)	US3-8	Betula	Declining	P. cactorum, P. foliorum, P. plurivora/citricola, P. rubi/fragariae, P. syringae, Clade 6 Phytophthora sp. uncultured 15a	P. syringae	P. chlamydospora	SRR13393750
US3 (Undisturbed site 3)	US3-9	Alnus	Declining	P. cactorum, P. pseudosyringae, P. syringae,	P. syringae, New Clade Phytophthora sp. uncultured 14b	P. cactorum, P. plurivora	SRR13393749
US3 (Undisturbed site 3)	US3-10	Betula	Dead	P. cactorum, P. primulae, P. syringae, Clade 3 Phytophthora sp. uncultured 11a	P. primulae	P. plurivora	SRR13393748
US4 (Undisturbed site 4)	US4-1	Decayed Betula	Dead	P. cinnamomi	-	-	SRR13393746
US4 (Undisturbed site 4)	US4-2	Decayed Quercus	Dead	P. cinnamomi, P. pseudosyringae	-	-	SRR13393745
US4 (Undisturbed site 4)	US4-3	Fraxinus	Healthy	P. plurivora/citricola, P. pseudosyringae, P. syringae, Clade 3 Phytophthora sp. uncultured 11a, Clade 11 Phytophthora sp. uncultured 20a	P. pseudosyringae, P. syringae, New Clade Phytophthora sp. uncultured 13b	-	SRR13393744
US4 (Undisturbed site 4)	US4-4	Castanea sativa	Healthy	-	-	-	Unavailable
US4 (Undisturbed site 4)	US4-5	Fagus sylvatica	Healthy	-	-	-	Unavailable
US4 (Undisturbed site 4)	US4-6	Betula	Dead	P. cactorum, P. cinnamomi, P. lacustris, P. megasperma/crassamura, P. syringae, Clade 7 Phytophthora sp. uncultured 4a and 5a, Clade 6 Phytophthora sp. uncultured 8a	P. cinnamomi, P. megasperma, P. syringae	P. chlamydospora, P. gonapodyides	SRR13393743
US4 (Undisturbed site 4)	US4-7	Fagus sylvatica	Healthy	P. pseudosyringae, Clade 3 Phytophthora sp. uncultured 11a	P. pseudosyringae	-	SRR13393742
US4 (Undisturbed site 4)	US4-8	Quercus	Healthy	-	-	-	Unavailable
US4 (Undisturbed site 4)	US4-9	Ulmus glabra	Healthy	P. cactorum, P. syringae	Clade 1 Phytophthora sp. uncultured 3b	-	SRR13393741
